ts,who,where_maybe,note
2026-09-11T16:10:00Z,unknown,,YESTERDAY? Kilo transfer yard recvd 200 lb (smudged date 11/12). do not know if this is today
2026-09-12T06:15:00Z,SSG Yusuf MacLeod,,Echo-Actual this is Dustoff-C. sending 40 lb from Charlie railhead to Echo transfer yard. count it on arrival. over
2026-09-12T06:15:47Z,LT Tom Kowalski,,Mike-Actual this is Dustoff-S. sending 195 lb from Sandpit airdrop LZ to Mike transfer yard. count it on arrival. over
2026-09-12T06:16:34Z,SFC Malik Vasquez,,got 35 pounds off Charlie railhead here at Mike transfer yard. logged. vasquez
2026-09-12T06:17:21Z,LT Tom Kowalski,,Copper-Actual this is Dustoff-S. sending 175 lb from Sandpit airdrop LZ to Copper transfer yard. count it on arrival. over
2026-09-12T06:18:08Z,PVT Farah Okonkwo,,got 40 pounds off Charlie railhead here at Echo transfer yard. logged. okonkwo
2026-09-12T06:18:55Z,SSG Yusuf MacLeod,,Mike-Actual this is Dustoff-C. sending 35 lb from Charlie railhead to Mike transfer yard. count it on arrival. over
2026-09-12T06:19:42Z,SFC Malik Vasquez,,got 195 pounds off Sandpit airdrop LZ here at Mike transfer yard. logged. vasquez
2026-09-12T06:20:29Z,CPL Sam Park,,got 175 pounds off Sandpit airdrop LZ here at Copper transfer yard. logged. park
2026-09-12T06:35:00Z,SFC Farah Kowalski,,got 25 pounds off Charlie railhead here at Whiskey forward cache. logged. kowalski
2026-09-12T06:35:47Z,SFC Farah Kowalski,,got 85 pounds off November port dump here at Whiskey forward cache. logged. kowalski
2026-09-12T06:36:34Z,SPC Sofia Ortiz,,got 80 pounds off Sandpit airdrop LZ here at Kilo transfer yard. logged. ortiz
2026-09-12T06:37:21Z,PVT Farah Okonkwo,,got 260 pounds off November port dump here at Echo transfer yard. logged. okonkwo
2026-09-12T06:38:08Z,SSG Yusuf MacLeod,,Whiskey-Actual this is Dustoff-C. sending 25 lb from Charlie railhead to Whiskey forward cache. count it on arrival. over
2026-09-12T06:38:55Z,CPT Tom Rahman,,Echo-Actual this is Dustoff-N. sending 260 lb from November port dump to Echo transfer yard. count it on arrival. over
2026-09-12T06:39:42Z,LT Tom Kowalski,,Kilo-Actual this is Dustoff-S. sending 80 lb from Sandpit airdrop LZ to Kilo transfer yard. count it on arrival. over
2026-09-12T06:40:29Z,CPT Tom Rahman,,Whiskey-Actual this is Dustoff-N. sending 60 lb from November port dump to Whiskey forward cache. count it on arrival. over
2026-09-12T06:55:00Z,SPC James Hassan,,got 25 pounds off Charlie railhead here at Juliet quarry. logged. hassan
2026-09-12T06:55:47Z,SSG Yusuf MacLeod,,Anchor-G1 this is Dustoff-C. sending 40 lb from Charlie railhead to Granite helipad. count it on arrival. over
2026-09-12T06:56:34Z,LT June Berg,,got 15 pounds off November port dump here at Tango mill. logged. berg
2026-09-12T06:57:21Z,SSG Yusuf MacLeod,,Anchor-J5 this is Dustoff-C. sending 25 lb from Charlie railhead to Juliet quarry. count it on arrival. over
2026-09-12T06:58:08Z,CPT Tom Rahman,,Anchor-T9 this is Dustoff-N. sending 15 lb from November port dump to Tango mill. count it on arrival. over
2026-09-12T06:58:55Z,LT Elena Vasquez,,got 40 pounds off Charlie railhead here at Granite helipad. logged. vasquez
2026-09-12T07:40:00Z,LT Tom Kowalski,,Watchtower; second drop; another 450 pounds from Sandpit airdrop LZ. Double it on the board. Over.
2026-09-12T09:00:00Z,CPL James Bennett,,got 35 pounds off Echo transfer yard here at Cedar checkpoint. logged. bennett
2026-09-12T09:00:47Z,SGT Maya Chen,,got 45 pounds off Echo transfer yard here at Yankee warehouse. logged. chen
2026-09-12T09:01:34Z,LT Omar MacLeod,,got 120 pounds off Echo transfer yard here at Oscar orchard. logged. macleod
2026-09-12T09:02:21Z,PVT Farah Okonkwo,,Anchor-O3 this is Echo-Actual. sending 120 lb from Echo transfer yard to Oscar orchard. count it on arrival. over
2026-09-12T09:03:08Z,PVT Farah Okonkwo,,Anchor-Y3 this is Echo-Actual. sending 45 lb from Echo transfer yard to Yankee warehouse. count it on arrival. over
2026-09-12T09:03:55Z,PVT Farah Okonkwo,,Anchor-L9 this is Echo-Actual. sending 25 lb from Echo transfer yard to Lima crossroads. count it on arrival. over
2026-09-12T09:04:42Z,PVT Farah Okonkwo,,Anchor-C4 this is Echo-Actual. sending 35 lb from Echo transfer yard to Cedar checkpoint. count it on arrival. over
2026-09-12T09:05:29Z,CPL Ibrahim Hale,,got 25 pounds off Echo transfer yard here at Lima crossroads. logged. hale
2026-09-12T09:20:00Z,SPC Sofia Ortiz,,Anchor-L9 this is Kilo-Actual. sending 5 lb from Kilo transfer yard to Lima crossroads. count it on arrival. over
2026-09-12T09:20:47Z,SPC Sofia Ortiz,,Anchor-X5 this is Kilo-Actual. sending 50 lb from Kilo transfer yard to Xray crossroads. count it on arrival. over
2026-09-12T09:21:34Z,SFC Tom Berg,,got 10 pounds off Kilo transfer yard here at Willow market. logged. berg
2026-09-12T09:22:21Z,CPL Ibrahim Hale,,got 5 pounds off Kilo transfer yard here at Lima crossroads. logged. hale
2026-09-12T09:23:08Z,PVT Farah Okonkwo,,Anchor-Q8 this is Echo-Actual. sending 75 lb from Echo transfer yard to Quarry farm. count it on arrival. over
2026-09-12T09:23:55Z,PVT Leo Ortiz,,got 75 pounds off Echo transfer yard here at Quarry farm. logged. ortiz
2026-09-12T09:24:42Z,LT Noah Alvarez,,got 50 pounds off Kilo transfer yard here at Xray crossroads. logged. alvarez
2026-09-12T09:25:29Z,SPC Sofia Ortiz,,Anchor-W9 this is Kilo-Actual. sending 10 lb from Kilo transfer yard to Willow market. count it on arrival. over
2026-09-12T09:40:00Z,SPC Sofia Ortiz,,Anchor-Q4 this is Kilo-Actual. sending 15 lb from Kilo transfer yard to Quebec checkpoint. count it on arrival. over
2026-09-12T09:40:47Z,CPL Sam Park,,Anchor-Z3 this is Copper-Actual. sending 145 lb from Copper transfer yard to Zulu tent city. count it on arrival. over
2026-09-12T09:41:34Z,PVT Victor Nair,,got 15 pounds off Kilo transfer yard here at Quebec checkpoint. logged. nair
2026-09-12T09:42:21Z,CPT Amelia MacLeod,,got 5 pounds off Whiskey forward cache here at Zulu tent city. logged. macleod
2026-09-12T09:43:08Z,SFC Farah Kowalski,,Anchor-Z3 this is Whiskey-Actual. sending 5 lb from Whiskey forward cache to Zulu tent city. count it on arrival. over
2026-09-12T09:43:55Z,CPL James Bennett,,got 35 pounds off Copper transfer yard here at Cedar checkpoint. logged. bennett
2026-09-12T09:44:42Z,CPL Sam Park,,Anchor-C4 this is Copper-Actual. sending 20 lb from Copper transfer yard to Cedar checkpoint. count it on arrival. over
2026-09-12T09:45:29Z,CPT Amelia MacLeod,,got 155 pounds off Copper transfer yard here at Zulu tent city. logged. macleod
2026-09-12T10:00:00Z,SFC Malik Vasquez,,Anchor-X5 this is Mike-Actual. sending 85 lb from Mike transfer yard to Xray crossroads. count it on arrival. over
2026-09-12T10:00:47Z,PVT Victor Nair,,got 70 pounds off Whiskey forward cache here at Quebec checkpoint. logged. nair
2026-09-12T10:01:34Z,SFC Malik Vasquez,,Anchor-W9 this is Mike-Actual. sending 45 lb from Mike transfer yard to Willow market. count it on arrival. over
2026-09-12T10:02:21Z,SFC Malik Vasquez,,Anchor-V2 this is Mike-Actual. sending 100 lb from Mike transfer yard to Victor mosque courtyard. count it on arrival. over
2026-09-12T10:03:08Z,SPC June Ruiz,,got 100 pounds off Mike transfer yard here at Victor mosque courtyard. logged. ruiz
2026-09-12T10:03:55Z,SFC Farah Kowalski,,Anchor-Q4 this is Whiskey-Actual. sending 80 lb from Whiskey forward cache to Quebec checkpoint. count it on arrival. over
2026-09-12T10:04:42Z,LT Noah Alvarez,,got 85 pounds off Mike transfer yard here at Xray crossroads. logged. alvarez
2026-09-12T10:05:29Z,SFC Tom Berg,,got 45 pounds off Mike transfer yard here at Willow market. logged. berg
2026-09-12T12:40:00Z,CPT Diego Khan,,uh ignore; stepped on the net. dusty at TOC. no extra pallets; just looking for the toyota.
2026-09-12T12:40:47Z,CPT Diego Khan,,roof still leaking at TOC but the load is dry. no new numbers.
